schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2022,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2022,2026-09-13T13:56:20+09:00,기타,모집종료,자립준비청년 음악활동 자조모임 런런 앙상블,전국,2026-08-05 ~ 2026-08-17,2026-08-05,2026-08-17,False,,,,,홀트아동복지회,,,281,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2016,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2016,2026-09-13T13:56:20+09:00,기타,모집종료,(전북)여성자립준비청년'With HER프로젝트'모집안내,전북,2026-08-03 ~ 2026-08-17,2026-08-03,2026-08-17,False,,,,,전북특별자치도자립지원전담기관,,,179,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2015,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2015,2026-09-13T13:56:21+09:00,기타,모집종료,"[서울자립지원전담기관]8월 문화힐링프로그램(2,3주차)",서울,2026-08-03 ~ 2026-08-13,2026-08-03,2026-08-13,False,,,,,서울시자립지원전담기관,,,133,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2000,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2000,2026-09-13T13:56:27+09:00,기타,모집종료,"2026년 위기가정 지원사업「위기의 순간, 신한과 함께",전국,2026-08-03 ~ 2026-08-11,2026-08-03,2026-08-11,False,,,,,사회복지법인 굿네이버스,,,526,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2010,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2010,2026-09-13T13:56:21+09:00,기타,모집종료,AI 활용 교육 / 인공지능에게 일 잘시키는 방법,서울 외 (2),2026-07-30 ~ 2026-08-13,2026-07-30,2026-08-13,False,,,,,사단법인 자립준비청년후원회,,,200,[],,[],[],False
1.0,jaripon,2001,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2001,2026-09-13T13:56:21+09:00,기타,모집종료,(전북)'JB희망의 학습멘토링4기' 멘토 추가모집안내,전북,2026-07-29 ~ 2026-08-04,2026-07-29,2026-08-04,False,,,,,전북특별자치도자립지원전담기관,,,109,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2002,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2002,2026-09-13T13:56:21+09:00,기타,모집종료,2026 경기도자립지원전담기관 세계문화유산탐방 '자립트,경기,2026-07-28 ~ 2026-08-06,2026-07-28,2026-08-06,False,,,,,경기도자립지원전담기관,,,319,"[""경기도자립준비청년"", ""자립트립"", ""세계문화유산탐방""]",,[],[],False
1.0,jaripon,2011,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2011,2026-09-13T13:56:21+09:00,기타,모집종료,"우리가 꿈꾸던 신혼여행, 첫씬(scene)",전국,2026-07-27 ~ 2026-08-10,2026-07-27,2026-08-10,False,,,,,청년재단,,,537,"[""청년대상""]",,[],[],False
1.0,jaripon,1994,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1994,2026-09-13T13:56:27+09:00,기타,모집중,2026 보호연장아동 자립지원프로그램(체험형) 참여자,경기,2026-07-27 ~ 2026-10-31,2026-07-27,2026-10-31,False,,,,,경기도자립지원전담기관,,,228,"[""보호연장아동"", ""자립지원프로그램""]",,[],[],False
1.0,jaripon,1992,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1992,2026-09-13T13:56:27+09:00,기타,모집중,(전북) 독서토론멘토링 '청년책빵' 사업 모집 안내,전북,2026-07-23 ~ 2026-10-30,2026-07-23,2026-10-30,False,,,,,전북특별자치도자립지원전담기관,,,140,"[""자립준비청년 대상""]",,[],[],False
