schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2035,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2035,2026-09-13T13:56:19+09:00,진로,모집종료,리턴 투 워크-마인드카페와 함께하는 한걸음 챌린지_3기,전국,2026-08-11 ~ 2026-09-04,2026-08-11,2026-09-04,False,,,,,서울현대교육재단,,,1106,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2039,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2039,2026-09-13T13:56:19+09:00,진로,모집종료,2026년 제2차 제주관광공사 청년인턴(체험형) 채용,제주,2026-08-10 ~ 2026-08-20,2026-08-10,2026-08-20,False,,,,,제주관광공사,,,179,"[""청년대상""]",,[],[],False
1.0,jaripon,2023,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2023,2026-09-13T13:56:20+09:00,진로,모집종료,[Develop Career] 생성형 AI 활용 교육,세종 외 (2),2026-08-05 ~ 2026-09-06,2026-08-05,2026-09-06,False,,,,,한국표준협회,,,228,[],,[],[],False
1.0,jaripon,2017,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2017,2026-09-13T13:56:20+09:00,진로,모집종료,AI 활용 교육/ AI를 나만의 비서로 만드는법,전국,2026-08-03 ~ 2026-08-14,2026-08-03,2026-08-14,False,,,,,사단법인 자립준비청년후원회,,,248,[],,[],[],False
1.0,jaripon,2014,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2014,2026-09-13T13:56:21+09:00,진로,모집종료,LX Z:IN 인테리어 시공 협력기사 모집(4차),서울 외 (15),2026-08-03 ~ 2026-08-17,2026-08-03,2026-08-17,False,,,,,LX하우시스,,,156,"[""자립준비청년"", ""청년 대상""]",,[],[],False
1.0,jaripon,2019,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2019,2026-09-13T13:56:20+09:00,진로,모집종료,26년도 신입직원 채용 공고,전국,2026-07-31 ~ 2026-08-20,2026-07-31,2026-08-20,False,,,,,한국주택금융공사,,,323,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2018,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2018,2026-09-13T13:56:20+09:00,진로,모집종료,5차 고용노동부 일경험 인턴 모집(~8/9),서울 외 (3),2026-07-31 ~ 2026-08-09,2026-07-31,2026-08-09,False,,,,,한국계량측정협회,,,229,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2013,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2013,2026-09-13T13:56:21+09:00,진로,모집종료,2026년 고졸 채용형 인턴(7급) 채용 공고,대구,2026-07-31 ~ 2026-08-14,2026-07-31,2026-08-14,False,,,,,한국가스공사,,,115,"[""청년대상""]",,[],[],False
1.0,jaripon,2012,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2012,2026-09-13T13:56:21+09:00,진로,모집종료,사회복지 해외연수 프로그램 참여자 모집,충남,2026-07-29 ~ 2026-08-14,2026-07-29,2026-08-14,False,,,,,충남아동자립지원전담기관,,,278,[],,[],[],False
1.0,jaripon,1988,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1988,2026-09-13T13:56:28+09:00,진로,모집종료,2026년 제2회 인천교통공사 버스운전원 채용 공고,인천,2026-07-29 ~ 2026-08-12,2026-07-29,2026-08-12,False,,,,,인천교통공사,,,209,"[""자립준비청년 대상""]",,[],[],False
